Produk,Nama,Waktu,Review,Rating
Kaos polo polos / Kaos kerah / Kaos wangki,Juandra,Hari ini,Ukurannya pas Berat badan 60 - 70 kg Tinggi badan 171 - 180 cm, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Qonita,4 hari lalu,tipis tapi okeee, 5
Kaos pria O-neck bicycle,wiwi,5 hari lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..", 5
Kaos Pria O-neck Toyib,wiwi,5 hari lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..", 5
Kaos Pria O-neck Game Boss,wiwi,5 hari lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..", 5
Kaos pria O-neck vespa,wiwi,5 hari lalu,"ok sesuai pesanan
pas, bahan ok adem, pengiriman cepat, kurir ramah,", 5
Kaos polo polos / Kaos kerah / Kaos wangki,T***i,1 minggu lalu,Ukurannya pas, 5
Kaos Polos Wanita Cotton Combed 30s,e***y,1 minggu lalu,"ukuran pas sesuai deskripsi, nyaman di badan, bahannya halus", 5
custom bordirr,Widarto,1 minggu lalu,"barang bagus, cepat sampai 
paten pokoknya", 5
Kaos Ganjar Mahfud Capres Cawapres 2024 // Baju Pria Wanita Politik,Arden,2 minggu lalu,terlalu tipis, 3
Kaos Pria Wanita Viral Prabowo Gemoi Sorry Yeee ,sudrajat,2 minggu lalu,ukuran L tdk sesuai Ukurannya terlalu kecil, 4
Kaos Polos Wanita Cotton Combed 30s,dini,2 minggu lalu,Ukurannya pas, 5
Kaos Prabowo Gibran Capres Cawapres 2024 // Baju Pria Wanita Politik ,Adelwin,2 minggu lalu,Ukurannya pas, 4
Kaos polo polos / Kaos kerah / Kaos wangki,n***a,3 minggu lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg, 5
Kaos polo polos / Kaos kerah / Kaos wangki,I***n,3 minggu lalu,"Ukurannya terlalu kecil buat saya sih untuk BB 62kg pakai L, overall bagus sih 🤝", 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***f,3 minggu lalu,barang sudah diterima sesuai pesanan ontime :-), 5
Kaos wanita cat star - Cotton Combed 30s,K***n,3 minggu lalu,trimakasih barang dah sampai .kain dan gambarnya sablonnya bagus. Ukurannya pas, 5
Kaos wanita nwyrk - Cotton Combed 30s,P***i,3 minggu lalu,Ukurannya pas Tinggi badan 150 - 160 cm, 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,Mamasanta,3 minggu lalu,Ukurannya pas Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Ukurannya terlalu besar Tinggi badan < 160 cm Berat badan 60 - 70 kg Tinggi badan 160 - 170 cm Tinggi b... , 5
Kaos Wanita Now - Cotton Combed 30s,Anggi,3 minggu lalu,Ukurannya pas, 5
Kaos polo polos / Kaos kerah / Kaos wangki,abdulazis,4 minggu lalu,Keren modelnya .. bahannya adem lumayan tebell .. pokonya bagus .. next order lagi dahh, 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 5 - Cotton Combed ,K***n,1 bulan lalu,trima kasih barang dah sampai Ukurannya pas, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Andi,1 bulan lalu,"bagus sesuai harga,  pengiriman cepat.  Ukurannya pas", 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Rindi,1 bulan lalu,kualitas bagus, 5
Kaos polo polos / Kaos kerah / Kaos wangki,erik,1 bulan lalu,Ukurannya terlalu kecil, 5
Dress Wanita Polos / Midi Dress / Dress Katun Lengan Pendek,J***e,1 bulan lalu,"bahannya nyaman, ga nerawang, datang cepat. tks seller", 5
Kaos polo polos / Kaos kerah / Kaos wangki,bagus,1 bulan lalu,Ukurannya pas, 5
Kaos polo polos / Kaos kerah / Kaos wangki,yuro,1 bulan lalu,Mantap.... rekomen..lah pokonamah, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Iskandar,1 bulan lalu,"Alhamdulillah.. Pesanan sdah sampai, Ukurannya pas tenyata yg M kk.. Bhan enak dipakai..harga terjangkau tpi bkn Murahan..Semoga suxes sllu dan berrokah  ushanyankk..🙏🙏... ", 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,L***y,1 bulan lalu,ukuran XL nya kecil benet..gk rekom.., 3
Kaos pria O-neck bicycle,Setyawan,1 bulan lalu,"Ukurannya pas Tinggi badan < 160 cm
cepat sampainya
bahannya bagus
packing aman
terimakasih", 5
Kaos polo polos / Kaos kerah / Kaos wangki,r***y,1 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Daffa,1 bulan lalu,"bahan bagus ukurannya juga sama kyk yg abu²,hanya aja lama pengirimannya", 4
Kaos polo polos / Kaos kerah / Kaos wangki,Daffa,1 bulan lalu,modelnya adem warna oke cuma m nya kalo sedikit gedean dikit pas. kalo L kegedean, 4
KAOS CALON PRESIDEN INDONESIA 2024 // PRABOWO // KAOS POLITIK UNISEX,Erwin,1 bulan lalu,siip dah terima kaosnya...keren n mantaap...thanks ya seller n tokped n kurir, 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,Cynthia,1 bulan lalu,Ukurannya pas. bahan adem, 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Sudiyanto,1 bulan lalu,barang bagus, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Akbar,1 bulan lalu,Sesuai dengan harga, 5
Kaos pria O-neck attack,K***n,2 bulan lalu,uk pas tapi bahan nya agak tipis ..pis...pis.., 5
Kaos Distro Pria Skateboard,E***o,2 bulan lalu,Mantabs cepet banget sampenya, 5
Kaos pria O-neck bicycle,F***r,2 bulan lalu,good seller..., 5
Kaos polo polos / Kaos kerah / Kaos wangki,S***i,2 bulan lalu,"bahan tipis, jahitan rapi, sesuai harga ,untuk seragam lumayan, tapi size nya memang size lebih kecil dari yg umum, model slimfit sizing nya,apa karena dideskripsi juga s... ", 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***t,2 bulan lalu,Ukurannya pas, 5
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,Tunik,2 bulan lalu,"Ukurannya pas Tinggi badan 150 - 160 cm,harga terjangkau,bahan bagus pokoknya nggak mengecewakan. Makasih🙏", 5
Kaos polo polos / Kaos kerah / Kaos wangki,NGADIYANTO,2 bulan lalu,"Semoga berkah, Pengiriman cepat,", 5
Kaos Zodiak Wanita Aquarius - Cotton Combed 30s,F***h,2 bulan lalu,Ukurannya pas Berat badan 50 - 60 dan adeeeem banged, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Y***n,2 bulan lalu,bahan sangat jelek. yaah ada harga ada kwalitas., 3
Kaos polo polos / Kaos kerah / Kaos wangki,Saktiva,2 bulan lalu,"beli 3, ada defect smua di bagian kerah nya sisa benang pintal gitu. bahan nya juga gerah buat di daerah panas mah. cuma worth sih seharga sgitu. sama kayanya ini ga bisa... ", 4
Kaos polo polos / Kaos kerah / Kaos wangki,Ijul,2 bulan lalu,Ukurannya terlalu kecil, 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***a,2 bulan lalu,sesuai pesanan. Ukurannya pas., 5
Kaos polo polos / Kaos kerah / Kaos wangki,M***h,2 bulan lalu,barang sudah sampai...kualitas sesuai harganya lah..ukurannya XXL tapi agak kecil kayak ukuran L.., 5
Kaos polo polos / Kaos kerah / Kaos wangki,Fristia,2 bulan lalu,"ukurannya pas, cukup oke dg harga segitu...", 5
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,R***h,3 bulan lalu,indonesia porever, 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***i,3 bulan lalu,"harga segini, barang sesuai. siip", 5
Kaos pria O-neck Sgame,Sugiarto,3 bulan lalu,ok, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yogi,3 bulan lalu,agak tipis kaosnya, 5
Kaos polo polos / Kaos kerah / Kaos wangki,Tjayadi,3 bulan lalu,"Modelnya pas dibadan,  kwalitas barangnya lumayan.  Tinggi badan 171 - 180 cm", 5
Kaos Pria O-neck Ikigai,Mohamad,3 bulan lalu,"Ukurannya terlalu kecil  Tinggi badan 160 - 170 cm
saran ukuran M pesenya L aja", 5
Kaos Pria O-neck Elang,Mohamad,3 bulan lalu,ukuran M terlalu kecil menurut saya next order lagi ukuran L Berat badan < 60 kg Tinggi badan 160 - 170 cm, 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Yunarsih,3 bulan lalu,Ukurannya pas, 5
Kaos Pria O-neck 75%,Y***n,3 bulan lalu,"Ukurannya pas , anak saya suka. warna coksu nya keren", 5
Kaos polo polos / Kaos kerah / Kaos wangki,Laksmono,3 bulan lalu,Ukurannya terlalu kecil, 4
Kaos Anies Muhaimin Capres Cawapres  2024 // Baju Pria Wanita Politik ,I***u,3 bulan lalu,"Ukurannya pas, bahannya cukup baik. Untuktinggi badan 160 - 170 cm, cukuplah.", 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yayan,3 bulan lalu,"sesuai lah sama harga, cuman kalo agak pas banget ukurannya, saran aja buat yang mau beli, size nya naik 1 atau 2 size dari yang biasa dipake", 5
